name,photo_light,light_type,lighting,background_type,image_sharpness,background_sharpness,view,object_view,multiplicity,object_shot,light_source,environment_busyness,environment,water,sky,object_background,stands_on,structures,natural_environment,,location,time,weather,object_property_1,object_property_2,object_property_3,object_property_4,object_property_5,activity,action,age,age_of_living,airplane_type,bicycle_type,bird_type,boat_type,bottle_type,bus_type,car_type,chair_type,motorbike_type,plant_type,train_type,monitor_type,human_emotion
2007_011289,normal,natural,uniform,natural,sharp,fuzzy,close,side/back,single,full,diffuse,vacant,,yes,,different,,,,,outside,day,clear,has_wings,soft,fuzzy,has_feathers,multi_color,flying,,,middle,,,wild,,,,,,,,,,
2007_011299,normal,natural,uniform,natural,sharp,sharp,close,front,single,full,diffuse,vacant,trees/grass,no,,different,natural,rural,forest,,outside,day,clear,has_legs,soft,fuzzy,,single_color,standing,,,middle,,,,,,,,,,,,,
2007_011311,normal,natural,uniform,artificial,sharp,sharp,far,front,single,full,diffuse,busy,,no,,similar,road,,,,outside,day,clear,has_wheels,hard,,,single_color,standing,,contemporary,,,sports,,,,,,,,,,,
2007_011321,normal,artificial,uniform,artificial,sharp,sharp,detail,back,single,partial,diffuse,vacant,,no,,different,,,,,inside,,,,hard,smooth,,multi_color,,,new,,,,,,,,sedan,,,,,,
2007_011377,normal,natural,uniform,artificial,sharp,sharp,far,front,single,full,diffuse,vacant,buildings,no,blue/cloudy,different,,urban,,,outside,evening,clear,has_wheels/has_wings,hard,smooth,,single_color,flying,,contemporary,,personal,,,,,,,,,,,,
2007_011408,normal,artificial,uniform,artificial,sharp,sharp,close,side/front,single,full,diffuse,busy,,no,,different,,,,,inside,,,,hard,smooth,,multi_color,standing,,contemporary,,,,,,wine,,,,,,,,
2007_011423,normal,artificial,uniform,artificial,sharp,fuzzy,middle,front,single,partial,diffuse,vacant,,no,,different,,,,,inside,,,,soft,,has_hair,multi_color,standing,,,middle,,,,,,,,,,,,,surprised
2007_011430,normal,artificial,uniform,artificial,sharp,sharp,middle,top,single,partial,diffuse,busy,,no,,different,,,,,inside,,,,hard,,,multi_color,,,contemporary,,,,,,,,,,,,,,
2007_011457,normal,natural,uniform,artificial,sharp,sharp,middle,side/front,single,full,diffuse,vacant,,no,,different,,,,,inside,day,,,soft,,,multi_color,standing,,contemporary,,,,,,,,,,,,,,
2007_011458,normal,natural,uniform,natural,sharp,sharp,close,side/front,single,full,diffuse,vacant,bushes,no,,different,road,,,,outside,day,clear,has_wheels,soft,smooth,,single_color,standing,,contemporary,,,,,,,,,,,,,,
2007_011526,normal,natural,shadows,natural,sharp,sharp,middle,front,single,partial,diffuse,vacant,trees,no,blue,different,road,,,,outside,day,clear,has_legs,soft,,,multi_color,standing,,,middle,,,,,,,,,,,,,angry
2007_011568,normal,natural,uniform,artificial,sharp,fuzzy,detail,side,single,partial,diffuse,vacant,buildings,no,blue/cloudy,different,,urban,,,outside,day,clear,,hard,smooth,,multi_color,parked,,contemporary,,passenger,,,,,,,,,,,,
2007_011585,normal,natural,uniform,artificial,sharp,sharp,middle,front,single,full,diffuse,vacant,,no,,different,,,,,inside,day,,has_legs,soft,,has_hair,multi_color,sitting,leisure,,young,,,,,,,,,,,,,neutral
2007_011586,normal,natural,uniform,natural,sharp,fuzzy,middle,side,single,full,diffuse,busy,trees/grass,no,,different,,,,,outside,day,clear,has_legs,soft,,has_hair,single_color,jumping,sport,,middle,,,,,,,,,,,,,
2007_011587,normal,natural,uniform,artificial,sharp,sharp,far,side/front,single,full,diffuse,vacant,buildings,no,,different,road,single_building,,,outside,evening,clear,has_wheels,hard,,,multi_color,standing,,contemporary,,,sports,,,,,,,,,,,
2007_011594,normal,natural,uniform,,fuzzy,fuzzy,far,side,single,full,diffuse,vacant,,no,,similar,,,,,outside,evening,fog_dust,has_legs,soft,,,single_color,standing,,,middle,,,,,,,,,,,,,
2007_011630,normal,natural,uniform,natural,fuzzy,fuzzy,far,side/back,single,full,diffuse,vacant,,no,,different,natural,,,,outside,day,clear,has_legs,soft,,,multi_color,standing,,,middle,,,,,,,,,,,,,
2007_011677,normal,artificial,uniform,artificial,sharp,sharp,close,front/top,single,partial,diffuse,busy,,no,,different,,,,,inside,,,,soft,,,multi_color,,,contemporary,,,,,,,,,,,,,,
2007_011678,normal,natural,uniform,artificial,sharp,sharp,close,side,single,full,diffuse,vacant,,no,,similar,,,,,inside,day,,,hard,smooth,,multi_color,standing,,old,,,,,,,,,,,,,computer/old,
2007_011717,normal,natural,uniform,artificial,sharp,sharp,far,side/front,single,full,diffuse,vacant,,no,,different,,,,,inside,day,,,hard,smooth,,multi_color,standing,,old,,,,,,,,,,,,,computer/old,
2007_011733,normal,natural,uniform,natural,fuzzy,fuzzy,far,side,single,partial,diffuse,vacant,grass,no,,different,natural,,fields,,outside,evening,clear,has_legs,soft,fuzzy,has_fur,single_color,standing,,,middle,,,,,,,,,,,,,
2007_011761,normal,natural,uniform,artificial,sharp,fuzzy,close,side,single,partial,diffuse,vacant,buildings,no,,different,,urban,,,outside,day,clear,has_wheels/has_wings,hard,smooth,,multi_color,landing_taking_off,,contemporary,,passenger,,,,,,,,,,,,
2007_011763,normal,artificial,uniform,artificial,sharp,sharp,close,front,single,partial,point,vacant,,no,,different,,,,,inside,evening,,has_legs,soft,fuzzy,has_fur,multi_color,laying,leisure,,middle,,,,,,,,,,,,,
2007_011774,normal,natural,uniform,artificial,sharp,sharp,close,top,single,full,diffuse,vacant,,no,,different,road,,,,outside,day,clear,has_legs,soft,fuzzy,has_fur,multi_color,laying,leisure,,middle,,,,,,,,,,,,,
2007_011955,normal,natural,uniform,artificial,sharp,sharp,far,side/front,single,full,diffuse,vacant,,yes,,different,road,,,,outside,day,clear,has_legs,soft,,,multi_color,walking,,,middle,,,,,,,,,,,,,
2007_012046,normal,natural,uniform,artificial,sharp,sharp,close,side/front,single,partial,diffuse,vacant,buildings/grass,no,,different,natural,single_building,,,outside,day,clear,has_legs,soft,fuzzy,has_hair/has_fur,multi_color,standing,,,middle,,,,,,,,,,,,,
2007_012094,normal,natural,uniform,natural,sharp,sharp,close,bottom,single,full,diffuse,vacant,,no,blue/cloudy,different,,,,,outside,day,clear,has_wings,soft,,,multi_color,flying,,,middle,,,wild,,,,,,,,,,
2007_012119,normal,natural,uniform,artificial,sharp,sharp,far,side/front,single,full,diffuse,vacant,,no,,different,,,,,inside,day,,,hard,smooth,,multi_color,standing,,old,,,,,,,,,,,,,tv/old,
2007_012132,normal,natural,uniform,artificial,sharp,sharp,close,front,single,full,diffuse,vacant,,no,,different,,,,,inside,day,,,hard,smooth,,multi_color,standing,,old,,,,,,,,,,,,,tv/old,
2007_012260,normal,natural,uniform,artificial,sharp,sharp,close,side,single,full,diffuse,vacant,buildings/trees,no,gray,different,road,urban,,,outside,day,clear,has_wheels,hard,smooth,,multi_color,parked,,contemporary,,,,,,,,,,travel,,,,
2007_012266,normal,natural,uniform,natural,sharp,sharp,middle,side/back,single,full,diffuse,vacant,trees,yes,gray,different,road,,forest,,outside,day,fog_dust,has_wheels/has_wings,hard,smooth,,multi_color,parked,,contemporary,,passenger,,,,,,,,,,,,
2007_012268,normal,natural,uniform,artificial,sharp,sharp,close,side/front/back,single,full,diffuse,vacant,,no,,different,,,,,inside,day,,,soft,fuzzy,has_fur,single_color,laying,leisure,,middle,,,,,,,,,,,,,
2007_012284,normal,natural,uniform,artificial,sharp,sharp,close,front,single,partial,diffuse,vacant,,no,,different,,,,,inside,day,,,hard,smooth,,single_color,standing,,contemporary,,,,,,,,,,,,,,
2007_012376,normal,natural,uniform,artificial,sharp,fuzzy,close,side/front,single,full,diffuse,vacant,buildings/grass,no,blue/gray,different,road,urban,,,outside,day,clear,has_wheels/has_wings,hard,smooth,,multi_color,landing_taking_off,,contemporary,,passenger,,,,,,,,,,,,
2007_012378,normal,natural,uniform,natural,sharp,sharp,close,side/front,single,full,diffuse,vacant,trees/bushes,no,,different,,,forest,,outside,day,clear,has_legs,soft,,has_hair,multi_color,sitting,work,,middle,,,,,,,,,,,,,happy
2007_012387,normal,natural,uniform,natural,sharp,sharp,middle,side,single,full,diffuse,vacant,trees/grass,no,gray,different,natural,,,,outside,day,clear,has_legs,soft,,,single_color,standing,,,middle,,,,,,,,,,,,,
2007_012400,normal,natural,uniform,natural,sharp,fuzzy,detail,side,single,partial,diffuse,vacant,,no,,different,,,,,outside,day,clear,,soft,fuzzy/sharp,has_feathers,multi_color,,,,middle,,,wild,,,,,,,,,,
2007_012412,normal,natural,uniform,natural,sharp,sharp,far,side/front,single,full,diffuse,vacant,trees,no,,different,,,,,outside,day,clear,has_legs,soft,fuzzy,,multi_color,sitting,,,middle,,,wild,,,,,,,,,,
2007_012426,normal,artificial,uniform,artificial,sharp,sharp,close,side/front,single,full,diffuse,vacant,,no,,different,,,,,inside,,,has_legs,soft,fuzzy,has_hair,multi_color,laying,leisure,,middle,,,,,,,,,,,,,happy
2007_012427,underexposed,natural,uniform,artificial,sharp,sharp,far,side/front,single,full,diffuse,vacant,,no,,different,,,,,inside,evening,,has_legs,soft,,,multi_color,standing,,contemporary,,,,,,,,,,,,,,
2007_012445,normal,natural,uniform,artificial,sharp,fuzzy,detail,front,single,partial,point,vacant,,no,,different,,,,,inside,day,,,soft,fuzzy,has_fur,multi_color,sitting,leisure,,middle,,,,,,,,,,,,,
2007_012470,normal,artificial,uniform,artificial,sharp,sharp,close,front,single,full,point,vacant,,no,,different,,,,,inside,,,has_legs,soft,fuzzy,has_fur,single_color,sitting,leisure,,middle,,,,,,,,,,,,,
2007_012539,normal,natural,shadows,artificial,sharp,sharp,detail,side,single,partial,diffuse,vacant,buildings,no,,different,,single_building,,,outside,day,clear,has_wheels,hard,smooth,,multi_color,standing,,contemporary,,,,,,,city,,,,,,,
2007_012565,normal,natural,uniform,natural,sharp,sharp,close,side/front,single,full,diffuse,vacant,buildings/trees/grass,no,gray,different,train_tracks,single_building,,,outside,day,clear,has_wheels,hard,,,multi_color,parked,,historical,,,,,,,,,,,,locomotive,,
2007_012597,normal,natural,uniform,artificial,sharp,sharp,close,side/front/top,single,full,diffuse,vacant,,no,,different,,,,,inside,day,,has_legs,soft,fuzzy,has_fur,multi_color,laying,leisure,,middle,,,,,,,,,,,,,
2007_012618,normal,natural,uniform,natural,sharp,sharp,detail,front/top,single,partial,diffuse,vacant,grass,no,,different,natural,,,,outside,day,clear,,soft,fuzzy,has_fur,multi_color,standing,,,middle,,,,,,,,,,,,,
2007_012619,normal,natural,uniform,natural,sharp,sharp,close,back/top,single,full,diffuse,vacant,,no,blue,different,,,,,outside,day,clear,has_wings,hard,,,multi_color,flying,,contemporary,,military,,,,,,,,,,,,
2007_012624,normal,natural,uniform,artificial,sharp,sharp,middle,side/front,multiple,partial,diffuse,vacant,,yes,,different,,,,,outside,day,clear,has_legs,soft,,has_hair,multi_color,sitting,leisure,,middle,,,,,,,,,,,,,happy
2007_012643,normal,natural,uniform,natural,sharp,fuzzy,middle,side/front,single,partial,diffuse,vacant,bushes,no,,different,road,,,,outside,day,clear,has_wheels,hard,smooth,,multi_color,standing,,contemporary,,,,,,,,family,,,,,,
2007_012648,normal,natural,uniform,natural,sharp,sharp,close,side/back,multiple,full,diffuse,busy,,no,,similar,natural,,,,inside,day,clear,has_legs,soft,fuzzy,has_fur,single_color,standing,,,middle,,,,,,,,,,,,,
2007_012719,normal,natural,uniform,natural,sharp,sharp,middle,top,single,full,diffuse,vacant,,yes,,different,water,,,,outside,day,clear,,hard,smooth,,multi_color,sailing,,contemporary,,,,,transport,,,,,,,,,
2007_012728,normal,natural,uniform,natural,sharp,sharp,middle,side/front,single,full,diffuse,vacant,bushes/grass,no,gray,different,natural,,,,outside,day,clear,has_wheels,hard,,,single_color,standing,,old,,,,,,,,,,,,diesel,,
2007_012823,normal,natural,uniform,artificial,sharp,sharp,close,side/front,single,partial,diffuse,busy,bushes/grass,no,,different,,,,,outside,day,clear,,hard,smooth,,single_color,standing,,new,,,,,,,,,,sports,,,,
2007_012824,normal,artificial,uniform,artificial,sharp,sharp,close,front,multiple,partial,point,vacant,,no,,different,,,,,inside,,,,soft,,has_hair,multi_color,sitting,party,,middle,,,,,,,,,,,,,happy
2007_012852,normal,natural,uniform,artificial,sharp,sharp,close,side,single,full,diffuse,vacant,,no,,different,,,,,inside,day,,has_legs,soft,fuzzy,,single_color,laying,leisure,,middle,,,,,,,,,,,,,
2007_012903,normal,natural,uniform,natural,sharp,fuzzy,detail,front,single,partial,diffuse,vacant,buildings/grass,no,,different,natural,single_building,fields,,outside,day,fog_dust,has_legs,soft,fuzzy,has_fur,multi_color,standing,,,middle,,,,,,,,,,,,,
2007_013011,normal,artificial,uniform,artificial,sharp,fuzzy,close,side/top,single,partial,point,vacant,,no,,different,,,,,inside,,,,hard,smooth,,multi_color,,,contemporary,,,,,,,,,,,,,,
2007_013020,normal,natural,uniform,artificial,sharp,sharp,far,front,single,full,diffuse,vacant,,no,,different,,,,,inside,day,,,hard,smooth,,multi_color,standing,,contemporary,,,,,,,,,,,decorative,,,
2007_013022,normal,natural,uniform,artificial,sharp,sharp,middle,side,single,full,diffuse,vacant,grass,no,,different,natural,,,,outside,day,clear,has_legs,soft,,has_hair,multi_color,walking,sport,,middle,,,,,,,,,,,,,
2007_013051,normal,natural,uniform,artificial,sharp,sharp,close,side/front,single,full,diffuse,vacant,,no,,different,road,,,,outside,day,clear,has_wheels,hard,smooth,,multi_color,standing,,contemporary,,,,,,,,sports,,,,,,
2007_013088,underexposed,artificial,uniform,artificial,sharp,sharp,middle,back,single,full,point,busy,,no,,different,,,,,outside,evening,clear,,hard,smooth,,multi_color,,,contemporary,,,,,,soda,,,,,,,,
2007_013101,normal,natural,uniform,artificial,sharp,sharp,close,side/front,single,partial,diffuse,vacant,buildings,no,gray,different,road,single_building,,,outside,day,clear,has_wheels,hard,smooth,,multi_color,standing,,contemporary,,,,,,,city,,,,,,,
2007_013106,normal,natural,uniform,artificial,sharp,sharp,middle,side,single,full,diffuse,busy,,no,,different,,,,,inside,day,,has_legs,soft,fuzzy,,single_color,laying,,,middle,,,,,,,,,,,,,
2007_013110,normal,natural,shadows,natural,sharp,sharp,middle,front,single,full,point,vacant,trees/grass,no,,different,natural,,forest,,outside,day,clear,has_legs,soft,fuzzy,has_fur,single_color,standing,,,middle,,,,,,,,,,,,,
2007_013131,normal,natural,uniform,artificial,sharp,sharp,far,side,single,full,diffuse,vacant,buildings/trees,yes,,different,water,urban,,,outside,day,clear,,hard,smooth,,single_color,sailing,,contemporary,,,,,transport,,,,,,,,,
2007_013134,normal,natural,uniform,artificial,sharp,sharp,close,side/front,multiple,partial,diffuse,busy,,no,,different,,,,,inside,day,,,soft,,has_hair,multi_color,playing,,,middle,,,,,,,,,,,,,happy
2007_013137,normal,natural,shadows,natural,sharp,sharp,close,side/front,single,partial,diffuse,vacant,trees,no,blue,different,road,,,,outside,day,clear,has_wheels,hard,smooth,,multi_color,standing,,contemporary,,,,,,,school,,,,,,,
2007_013143,normal,natural,uniform,artificial,sharp,sharp,close,side/front,single,full,diffuse,vacant,buildings,yes,gray,different,road,urban,,,outside,day,clear,has_wheels,hard,smooth,,multi_color,parked,,contemporary,,,,,,,,sedan,,,,,,
2007_013169,normal,natural,uniform,artificial,sharp,sharp,close,side/back,single,full,point,vacant,,no,,different,,,,,inside,day,,,soft,fuzzy,has_fur,multi_color,laying,leisure,,middle,,,,,,,,,,,,,
2007_013188,normal,natural,uniform,artificial,sharp,sharp,close,side/front,single,full,diffuse,vacant,buildings,no,,similar,,single_building,,,outside,day,clear,has_wheels,hard,smooth,,multi_color,parked,,contemporary,,,sports,,,,,,,,,,,
2007_013194,normal,natural,uniform,natural,sharp,fuzzy,close,side,single,full,diffuse,vacant,,no,,different,natural,,fields,,outside,day,clear,has_legs,soft,,has_fur,multi_color,jumping,sport,,middle,,,,,,,,,,,,,
2007_013195,normal,natural,shadows,artificial,sharp,sharp,middle,side/front,single,partial,diffuse,vacant,buildings/bushes/grass,no,blue,different,natural,urban,,,outside,day,clear,has_wheels,hard,,,multi_color,standing,,old,,,,,,,tour,,,,,,,
2007_013201,normal,natural,shadows,natural,sharp,sharp,close,side/front,single,full,point,vacant,trees/grass,no,sunny,different,natural,,fields,,outside,day,clear,has_legs,soft,fuzzy,has_fur,single_color,standing,,,middle,,,,,,,,,,,,,
2007_013349,normal,natural,uniform,artificial,sharp,fuzzy,close,side/front,single,full,diffuse,vacant,,no,,different,,,,,outside,day,clear,has_legs,soft,fuzzy,has_feathers,multi_color,walking,,,middle,,,wild,,,,,,,,,,
2007_013367,normal,natural,uniform,artificial,sharp,sharp,far,side/front,multiple,full,diffuse,busy,trees,no,,different,,,,,outside,day,clear,has_legs,soft,,has_hair,multi_color,sitting,,,child,,,,,,,,,,,,,neutral
2007_013373,normal,natural,uniform,artificial,sharp,sharp,close,front/top,single,partial,diffuse,busy,,no,,different,,,,,inside,day,,has_legs,soft,fuzzy,has_fur,single_color,laying,,,middle,,,,,,,,,,,,,
2007_013499,normal,natural,uniform,artificial,sharp,sharp,close,side/front,single,full,diffuse,vacant,buildings/trees,no,blue/gray/cloudy,different,road,urban,,,outside,day,clear,,hard,smooth,,multi_color,standing,,contemporary,,,,,,,,,,,,diesel,,
2007_013503,normal,natural,uniform,artificial,sharp,sharp,middle,side,single,partial,diffuse,vacant,,no,,different,road,,,,outside,day,clear,has_wheels,hard,smooth,,multi_color,standing,,contemporary,,,,,,,,sports,,,,,,
2007_013506,underexposed,natural,uniform,artificial,sharp,fuzzy,close,front,single,full,diffuse,vacant,,no,,different,,,,,inside,day,,,hard,,,single_color,standing,,contemporary,,,,,,,,,,,decorative,,,
2007_013530,normal,artificial,uniform,artificial,sharp,sharp,close,side/front,single,partial,diffuse,busy,,no,,different,,,,,inside,,,,soft,fuzzy,,single_color,standing,,contemporary,,,,,,,,,,,,,,
2007_013571,normal,natural,shadows,natural,sharp,sharp,close,side/back/top,single,partial,diffuse,vacant,bushes,no,,different,natural,,beach,,outside,day,clear,,hard,smooth,,multi_color,,,contemporary,,,,,transport,,,,,,,,,
2007_013587,normal,natural,uniform,artificial,sharp,sharp,close,side/front,single,full,diffuse,busy,buildings/trees/bushes,no,blue,different,,single_building,,,outside,day,clear,,hard,smooth,,multi_color,standing,,contemporary,,,,,,,,,,,,diesel,,
2007_013611,normal,natural,uniform,natural,sharp,sharp,very_far,back,single,full,diffuse,vacant,trees,yes,blue,different,,,beach,,outside,day,clear,has_legs,soft,,has_hair,multi_color,riding,,,middle,,,,,,,,,,,,,
2007_013621,normal,natural,uniform,artificial,sharp,sharp,middle,side/back,single,full,diffuse,busy,bushes,no,,different,road,,,,outside,day,clear,has_wheels,hard,smooth,,single_color,standing,,contemporary,,,city,,,,,,,,,,,
2007_013682,normal,natural,uniform,,sharp,fuzzy,middle,side/front,single,full,diffuse,vacant,,no,,different,,,,,outside,day,clear,has_legs,soft,fuzzy,has_feathers,multi_color,standing,,,middle,,,wild,,,,,,,,,,
2007_013711,normal,natural,uniform,artificial,sharp,sharp,middle,side/front,single,partial,diffuse,vacant,bushes,no,,different,road,,,,outside,evening,clear,has_wheels,hard,smooth,,multi_color,standing,,contemporary,,,,,,,,sedan,,,,,,
2007_013714,normal,natural,uniform,natural,sharp,sharp,close,side/front/top,single,full,diffuse,vacant,grass,no,,different,natural,,fields,,outside,day,clear,has_legs,soft,fuzzy,has_fur,single_color,standing,,,young,,,,,,,,,,,,,
2007_013742,normal,natural,uniform,artificial,sharp,sharp,close,top,single,partial,diffuse,busy,,no,,different,,,,,inside,day,,,soft,,,single_color,,,contemporary,,,,,,,,,,,,,,
